lon,lat,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,province,month
107,22,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
107.5,22,0,2,14,6,9,5,6,0,0,7,21,广西壮族自治区,5
107.5,22,8,20,0,0,6,6,13,7,0,9,29,广西壮族自治区,6
107.5,22,14,6,7,0,6,8,19,1,11,10,31,广西壮族自治区,7
107.5,22,0,1,0,0,0,0,13,5,0,9,7,广西壮族自治区,8
107.5,22,0,6,0,0,0,0,0,0,0,0,4,广西壮族自治区,9
107.5,22,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
108,22,0,0,8,6,7,4,0,0,0,7,19,广西壮族自治区,5
108,22,8,0,0,0,10,7,13,7,0,10,21,广西壮族自治区,6
108,22,10,6,6,0,9,8,19,2,9,11,26,广西壮族自治区,7
108,22,0,2,7,0,6,14,19,11,6,11,9,广西壮族自治区,8
108,22,6,6,0,0,0,0,0,0,0,0,8,广西壮族自治区,9
108,22,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
108.5,22,0,0,0,0,0,3,0,0,0,7,19,广西壮族自治区,5
108.5,22,0,0,0,0,6,5,13,7,0,8,20,广西壮族自治区,6
108.5,22,8,6,0,0,7,15,12,2,7,12,29,广西壮族自治区,7
108.5,22,0,3,10,0,7,15,22,5,6,19,10,广西壮族自治区,8
108.5,22,6,6,2,0,0,0,0,6,0,0,11,广西壮族自治区,9
108.5,22,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
109,22,0,0,6,0,7,0,0,0,0,6,19,广西壮族自治区,5
109,22,0,0,0,0,9,7,6,7,0,8,17,广西壮族自治区,6
109,22,17,0,6,0,11,15,12,2,6,11,30,广西壮族自治区,7
109,22,0,2,10,0,0,14,15,11,6,17,9,广西壮族自治区,8
109,22,0,6,2,0,0,0,3,0,0,0,9,广西壮族自治区,9
109,22,0,0,0,6,0,0,14,0,0,0,0,广西壮族自治区,10
109.5,22,0,0,0,0,6,0,0,0,0,6,10,广西壮族自治区,5
109.5,22,0,6,0,0,9,7,9,6,0,9,17,广西壮族自治区,6
109.5,22,16,0,7,0,11,15,15,2,6,14,30,广西壮族自治区,7
109.5,22,0,2,4,0,0,13,17,11,0,20,9,广西壮族自治区,8
109.5,22,7,6,2,0,0,0,3,6,0,0,9,广西壮族自治区,9
109.5,22,0,0,0,0,0,0,21,0,0,0,0,广西壮族自治区,10
110,22,0,0,0,0,0,0,0,0,0,6,10,广西壮族自治区,5
110,22,0,19,0,0,7,19,6,6,0,9,15,广西壮族自治区,6
110,22,14,0,7,0,6,16,15,5,0,12,31,广西壮族自治区,7
110,22,0,2,4,0,6,13,17,11,0,20,8,广西壮族自治区,8
110,22,0,6,2,0,0,0,3,0,0,0,8,广西壮族自治区,9
110,22,0,0,0,6,0,0,16,0,0,0,0,广西壮族自治区,10
110.5,22,0,0,0,0,1,2,0,0,1,6,10,广东省,5
110.5,22,8,0,0,6,5,6,8,0,5,10,8,广东省,6
110.5,22,16,12,0,0,12,17,21,2,6,14,24,广东省,7
110.5,22,0,2,11,0,7,7,11,11,0,17,14,广东省,8
110.5,22,0,15,2,0,0,0,3,0,0,0,8,广东省,9
110.5,22,0,3,0,7,0,0,10,0,0,6,0,广东省,10
111,22,0,0,0,0,0,2,0,0,8,6,12,广东省,5
111,22,0,11,0,0,0,6,7,0,12,6,7,广东省,6
111,22,16,12,7,0,12,18,14,2,0,7,30,广东省,7
111,22,0,9,12,0,7,17,12,11,6,19,8,广东省,8
111,22,0,6,2,0,0,0,0,0,0,0,9,广东省,9
111,22,0,0,0,0,0,0,0,0,0,0,0,广东省,10
111.5,22,0,0,0,0,4,2,0,0,1,6,6,广东省,5
111.5,22,0,0,0,7,8,6,7,0,12,6,0,广东省,6
111.5,22,8,6,6,0,15,17,20,2,0,8,18,广东省,7
111.5,22,1,2,13,2,8,18,21,15,6,21,7,广东省,8
111.5,22,5,6,2,10,0,0,0,5,0,6,9,广东省,9
111.5,22,0,0,0,0,0,0,0,0,0,7,0,广东省,10
112,22,0,0,0,0,0,0,0,0,1,7,6,广东省,5
112,22,0,12,0,6,7,0,8,0,18,2,0,广东省,6
112,22,8,6,6,0,15,17,13,4,0,11,17,广东省,7
112,22,0,2,13,2,10,7,16,15,0,21,7,广东省,8
112,22,13,5,2,4,0,0,0,11,0,6,9,广东省,9
112,22,0,0,0,0,0,0,0,0,0,7,0,广东省,10
112.5,22,0,0,0,0,0,0,0,0,3,6,0,广东省,5
112.5,22,0,15,0,0,7,0,8,0,12,0,0,广东省,6
112.5,22,8,6,6,6,17,17,14,2,0,8,17,广东省,7
112.5,22,0,4,18,0,9,15,20,21,6,21,5,广东省,8
112.5,22,13,6,2,0,0,0,4,8,0,7,9,广东省,9
112.5,22,0,0,0,0,0,0,3,3,0,7,0,广东省,10
113,22,0,0,6,0,0,0,0,0,3,0,0,广东省,5
113,22,0,0,0,6,7,0,7,0,12,0,0,广东省,6
113,22,0,6,0,6,19,14,16,1,0,7,17,广东省,7
113,22,1,4,20,0,9,20,19,23,6,20,17,广东省,8
113,22,13,6,2,0,0,0,10,14,0,12,9,广东省,9
113,22,0,0,0,0,0,0,3,3,0,6,0,广东省,10
99.5,22.5,24,0,25,0,23,18,14,23,17,30,26,云南省,5
99.5,22.5,6,0,6,6,10,0,0,11,0,10,9,云南省,6
99.5,22.5,0,0,0,0,0,0,0,0,6,0,0,云南省,7
99.5,22.5,0,0,0,0,0,0,6,0,0,0,6,云南省,8
99.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
99.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
100,22.5,24,0,25,12,25,17,19,21,16,30,26,云南省,5
100,22.5,0,0,0,7,11,10,0,0,0,11,16,云南省,6
100,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,7
100,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,8
100,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
100,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
100.5,22.5,26,6,9,15,18,22,18,21,6,30,26,云南省,5
100.5,22.5,0,0,0,9,11,16,0,0,0,16,20,云南省,6
100.5,22.5,0,0,0,0,0,0,0,0,0,6,5,云南省,7
100.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,8
100.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
100.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101,22.5,25,0,9,14,18,23,18,20,7,30,26,云南省,5
101,22.5,6,0,0,8,10,11,0,0,0,17,17,云南省,6
101,22.5,0,0,0,0,0,0,0,0,0,6,0,云南省,7
101,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,8
101,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101.5,22.5,23,0,15,14,18,19,18,15,7,30,26,云南省,5
101.5,22.5,6,0,0,8,9,14,0,0,0,15,9,云南省,6
101.5,22.5,0,5,0,0,0,6,5,0,7,6,0,云南省,7
101.5,22.5,0,1,0,0,0,0,1,0,0,0,0,云南省,8
101.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101.5,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
102,22.5,23,0,8,6,17,19,15,15,7,30,26,云南省,5
102,22.5,7,0,0,8,6,13,0,7,0,15,14,云南省,6
102,22.5,0,5,0,0,0,6,5,2,12,6,8,云南省,7
102,22.5,0,1,0,0,0,0,7,4,0,6,10,云南省,8
102,22.5,0,0,0,0,0,0,0,0,0,0,2,云南省,9
102,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
103,22.5,22,0,9,0,14,17,12,14,0,15,26,云南省,5
103,22.5,8,0,0,15,0,4,3,0,0,7,2,云南省,6
103,22.5,0,11,0,0,0,14,16,4,14,12,12,云南省,7
103,22.5,0,6,0,0,0,0,21,10,6,20,11,云南省,8
103,22.5,6,4,0,0,0,0,0,0,0,0,8,云南省,9
103,22.5,0,0,0,0,0,0,0,0,0,0,0,云南省,10
107,22.5,6,0,8,11,9,5,8,0,6,7,15,广西壮族自治区,5
107,22.5,8,6,0,2,7,6,13,7,0,9,15,广西壮族自治区,6
107,22.5,11,6,0,0,7,15,19,2,11,10,30,广西壮族自治区,7
107,22.5,0,1,0,0,6,6,25,11,6,19,7,广西壮族自治区,8
107,22.5,0,6,0,0,0,0,0,0,0,0,8,广西壮族自治区,9
107,22.5,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
107.5,22.5,0,2,14,0,15,5,7,0,0,7,15,广西壮族自治区,5
107.5,22.5,7,15,0,0,6,6,13,7,0,8,15,广西壮族自治区,6
107.5,22.5,14,11,0,0,6,15,19,2,11,4,30,广西壮族自治区,7
107.5,22.5,0,3,0,0,0,0,7,5,6,13,7,广西壮族自治区,8
107.5,22.5,0,13,0,0,0,0,0,0,0,0,9,广西壮族自治区,9
107.5,22.5,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
108,22.5,0,2,8,4,8,5,6,0,0,7,16,广西壮族自治区,5
108,22.5,7,15,0,2,0,6,13,7,0,9,15,广西壮族自治区,6
108,22.5,14,13,0,0,7,14,20,2,8,10,28,广西壮族自治区,7
108,22.5,0,4,0,0,0,7,20,5,6,13,9,广西壮族自治区,8
108,22.5,0,6,0,0,0,0,0,0,0,0,11,广西壮族自治区,9
108,22.5,0,0,0,0,0,0,0,0,0,0,0,广西壮族自治区,10
108.5,22.5,0,0,6,0,0,3,0,0,0,7,9,广西壮族自治区,5
108.5,22.5,0,21,0,0,0,5,13,7,0,9,20,广西壮族自治区,6
108.5,22.5,17,6,0,0,7,14,13,2,7,11,26,广西壮族自治区,7
108.5,22.5,0,3,8,0,0,13,15,11,6,19,15,广西壮族自治区,8
108.5,22.5,6,13,0,0,0,0,3,0,0,0,11,广西壮族自治区,9
108.5,22.5,0,0,0,0,0,0,3,0,0,0,0,广西壮族自治区,10
109,22.5,0,0,6,0,0,3,0,0,0,7,10,广西壮族自治区,5
109,22.5,0,0,0,0,3,11,16,8,0,8,16,广西壮族自治区,6
109,22.5,17,6,6,0,10,14,16,2,0,11,29,广西壮族自治区,7
109,22.5,0,2,8,0,7,13,13,11,6,20,15,广西壮族自治区,8
109,22.5,6,6,0,0,0,0,3,6,0,1,8,广西壮族自治区,9
109,22.5,0,0,0,0,0,0,11,0,0,6,0,广西壮族自治区,10
109.5,22.5,0,0,0,0,0,0,0,0,0,7,9,广西壮族自治区,5
109.5,22.5,0,6,0,0,6,8,12,8,0,9,15,广西壮族自治区,6
109.5,22.5,17,6,7,0,7,14,16,2,0,12,30,广西壮族自治区,7
109.5,22.5,0,3,7,0,7,7,14,11,6,20,14,广西壮族自治区,8
109.5,22.5,0,15,0,0,0,0,3,6,0,0,9,广西壮族自治区,9
109.5,22.5,0,3,0,0,0,0,11,0,0,7,0,广西壮族自治区,10
110,22.5,0,0,0,0,0,0,0,0,0,6,9,广西壮族自治区,5
110,22.5,0,7,0,7,7,13,11,0,0,9,8,广西壮族自治区,6
110,22.5,22,0,7,0,6,16,18,5,0,11,30,广西壮族自治区,7
110,22.5,0,3,8,0,8,7,11,11,0,20,14,广西壮族自治区,8
110,22.5,0,24,0,0,0,0,3,0,0,0,9,广西壮族自治区,9
110,22.5,0,3,0,0,0,0,15,0,0,6,0,广西壮族自治区,10
110.5,22.5,0,0,0,0,0,0,0,0,0,6,9,广西壮族自治区,5
110.5,22.5,0,7,0,6,6,2,8,0,0,8,8,广西壮族自治区,6
110.5,22.5,22,6,12,0,12,16,14,5,0,13,24,广西壮族自治区,7
110.5,22.5,6,3,8,0,7,14,12,11,0,18,14,广西壮族自治区,8
110.5,22.5,0,27,0,0,0,0,0,0,0,0,9,广西壮族自治区,9
110.5,22.5,0,3,0,0,0,0,0,0,0,6,0,广西壮族自治区,10
111,22.5,0,0,0,0,0,0,0,0,1,6,9,广东省,5
111,22.5,0,0,0,6,15,9,12,0,6,8,15,广东省,6
111,22.5,13,6,6,0,15,17,16,5,6,12,28,广东省,7
111,22.5,6,3,7,0,8,20,12,13,0,22,8,广东省,8
111,22.5,0,14,0,0,0,0,0,0,0,0,8,广东省,9
111,22.5,0,3,0,0,0,0,0,0,0,0,0,广东省,10
111.5,22.5,0,0,0,0,0,0,0,0,0,7,10,广东省,5
111.5,22.5,6,6,0,0,6,10,8,6,0,9,15,广东省,6
111.5,22.5,10,13,6,0,16,17,21,2,0,12,31,广东省,7
111.5,22.5,0,23,7,0,8,13,14,13,0,18,5,广东省,8
111.5,22.5,0,15,0,0,0,0,0,0,0,0,8,广东省,9
111.5,22.5,0,3,0,0,0,0,0,0,0,0,0,广东省,10
112,22.5,0,0,0,0,0,0,0,0,1,8,11,广东省,5
112,22.5,0,22,0,0,6,3,7,0,11,8,7,广东省,6
112,22.5,8,8,6,0,16,18,19,2,0,12,24,广东省,7
112,22.5,0,2,8,2,10,24,8,20,0,18,7,广东省,8
112,22.5,0,5,0,4,0,0,0,0,0,6,8,广东省,9
112,22.5,0,0,0,0,0,0,0,0,0,0,0,广东省,10
112.5,22.5,0,0,0,0,0,0,0,0,8,8,11,广东省,5
112.5,22.5,0,22,0,0,8,9,7,0,6,0,7,广东省,6
112.5,22.5,8,7,6,0,15,17,16,2,0,8,25,广东省,7
112.5,22.5,0,2,8,2,10,7,12,20,0,12,11,广东省,8
112.5,22.5,0,8,0,4,0,0,0,0,0,6,9,广东省,9
112.5,22.5,0,3,0,0,0,0,0,0,0,7,0,广东省,10
113,22.5,0,0,0,0,0,0,0,0,3,6,11,广东省,5
113,22.5,0,14,0,0,8,8,7,6,6,1,7,广东省,6
113,22.5,9,7,6,0,16,18,14,2,0,13,19,广东省,7
113,22.5,6,8,14,0,9,7,18,20,0,12,17,广东省,8
113,22.5,0,5,0,0,0,0,3,0,0,6,8,广东省,9
113,22.5,0,0,0,0,0,0,3,0,0,7,0,广东省,10
113.5,22.5,0,0,6,0,0,0,0,0,6,0,0,广东省,5
113.5,22.5,0,9,0,6,6,8,7,0,6,0,7,广东省,6
113.5,22.5,9,13,6,6,16,17,14,3,0,8,18,广东省,7
113.5,22.5,6,12,18,0,7,7,19,21,0,12,19,广东省,8
113.5,22.5,12,5,2,0,0,0,3,9,0,6,8,广东省,9
113.5,22.5,0,0,0,0,0,0,3,3,0,7,0,广东省,10
114.5,22.5,0,0,6,0,0,0,0,0,3,0,0,广东省,5
114.5,22.5,0,0,0,6,0,9,8,0,5,0,10,广东省,6
114.5,22.5,7,13,0,6,18,13,15,3,0,7,24,广东省,7
114.5,22.5,1,10,18,6,8,16,10,26,0,12,15,广东省,8
114.5,22.5,12,5,2,6,6,0,0,14,0,6,8,广东省,9
114.5,22.5,0,0,0,0,0,0,0,3,0,7,0,广东省,10
100,23,23,0,25,10,18,25,17,19,13,30,26,云南省,5
100,23,0,5,6,9,11,12,0,0,0,10,18,云南省,6
100,23,0,1,0,0,0,0,0,0,0,0,6,云南省,7
100,23,0,0,0,0,0,0,0,0,0,0,0,云南省,8
100,23,0,0,0,0,0,0,0,0,0,0,0,云南省,9
100,23,0,0,0,0,0,0,0,0,0,0,0,云南省,10
100.5,23,26,0,15,14,18,25,17,17,6,30,26,云南省,5
100.5,23,0,0,0,9,11,16,0,0,0,16,20,云南省,6
100.5,23,0,0,0,0,0,0,0,0,0,0,5,云南省,7
100.5,23,0,0,0,0,0,0,0,0,0,0,0,云南省,8
100.5,23,0,0,0,0,0,0,0,0,0,0,0,云南省,9
100.5,23,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101,23,24,0,9,14,18,25,17,22,6,30,26,云南省,5
101,23,0,0,0,10,11,16,0,0,0,16,19,云南省,6
101,23,0,0,0,0,0,0,0,0,0,0,0,云南省,7
101,23,0,0,0,0,0,0,0,0,0,0,0,云南省,8
101,23,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101,23,0,0,0,0,0,0,0,0,0,0,0,云南省,10
101.5,23,24,0,15,14,20,18,18,16,6,30,27,云南省,5
101.5,23,0,0,0,7,9,8,0,9,0,16,17,云南省,6
101.5,23,0,1,0,0,0,0,0,0,6,6,0,云南省,7
101.5,23,0,5,0,0,0,0,0,0,0,0,0,云南省,8
101.5,23,0,0,0,0,0,0,0,0,0,0,0,云南省,9
101.5,23,0,0,0,0,0,0,0,0,0,0,0,云南省,10
102,23,23,0,9,7,18,15,16,15,6,30,26,云南省,5
102,23,0,6,0,7,6,8,0,9,0,9,8,云南省,6
102,23,6,5,0,0,0,0,5,2,8,6,0,云南省,7
102,23,0,5,0,0,0,0,20,4,2,6,11,云南省,8
102,23,0,0,0,0,0,0,0,0,4,4,2,云南省,9
102,23,0,0,0,0,0,0,0,0,0,0,0,云南省,10
102.5,23,16,0,9,6,16,17,10,14,0,26,25,云南省,5
102.5,23,0,0,0,14,6,5,0,0,0,13,0,云南省,6
102.5,23,0,5,0,0,0,8,11,2,14,6,7,云南省,7
